SrNo,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
1672,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
2805,Area-2 (070607804),,,,,,,0,0,0,SubCentre,Delhi,Central,Civil Lines,\N
2832,Area-C,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
3991,ESI NAND NAGRI,Main Road,"Near Dtc Depot , Village Mandoli",,NAND NAGARI,110093,2259 1935,28.698661,77.304322,0,Dispensaries,Delhi,Shahdara,Seema Puri,\N
3992,CGHS Man Sarover Park,CGHS Wellness Centre,"Near DDA Flats, Mansarover park",,shahdara,110032,22583766,28.6754,77.301,0,Dispensaries,Delhi,Shahdara,Shahdara,\N
3995,CGHS DILSHAD GARDEN,"No. 87, Pkt B",Near Sarvodaya Vidyalaya,,Dilshad Garden,110095,22596489,28.68089993,77.31381322,0,Dispensaries,Delhi,Shahdara,Seema Puri,\N
3998,CGHS Dispensary Vivek Vihar,D-12 A,Chander Nagar,GZB,Vivek Vihar,110095,22143551,28.663626,77.318205,0,Dispensaries,Delhi,Shahdara,Vivek Vihar,\N
4003,Ashok Nursing Home,F3/15-16,Block F,,Krishna Nagar,110051,2202 3420,28.39343,77.17004,0,100-500 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4004,Deepak Memorial Hospital,"5 & 6, Vikas Marg Extension",Institutional Area,,karkardooma,110092,22155555,28.39426,77.18045,0,100-500 Bedded Hospital,Delhi,Shahdara,\N,\N
4005,Deepak Memorial Hospital,"5 & 6, Vikas Marg Extension",Institutional Area,,karkardooma,110092,22155555,28.39426,77.18045,0,100-500 Bedded Hospital,Delhi,Shahdara,\N,\N
4027,Shri Ram Singh Hospital,"B-25-26, 26-A","Swaran Cinema Road, east Krishna nagar",,Vivek Vihar,110051,22003244,28.662347,77.286369,0,100-500 Bedded Hospital,Delhi,Shahdara,\N,\N
4029,Gupta Nursing Home,"25, raj block",naveen shahdara,west rhotas nagar,shahdara,110032,22322218,28.676087,77.287455,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4030,Mahalaxmi Hospital,P-8/1449,main 100 feet Rd,durgapuri,shahdara,110093,22299416,28.689191,77.297272,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4036,Delhi State Cancer Institute,"8, GTB Hospital Complex","East Nathu Colony, GTB Enclave",,Dilshad Garden,110095,22110303,28.686242,77.309087,0,100-500 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4038,Institute of Human Behaviour & Allied Science,GTB Enclave,"Dilshad Garden, North East Delhi",,Dilshad Garden,110095,22114032,28.680133,77.306377,0,100-500 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4039,Rajiv Gandhi Super Speciality Hospital,Tahirpur,Taharpur Village,,Dilshad Garden,110093,22312244,28.689129,77.316552,0,>500 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4050,Parivar Seva Clinic,"X-41, Karkardooma Institutional Area","Near/Opposite to Central School, Mangalam Marg, A G C R Enclave,","Anand Vihar, New Delhi,",karkardooma,110092,22375975,28.653401,77.293802,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4074,jp memorial,"F189, NS Road, Block F",Dilshad Colony,,Dilshad Garden,110095,22354050,28.68471,77.329936,0,<100 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4075,Jyoti Clinic And Maternity Home,"Shop No. 1480, East Jyoti Nagar","Main 100 Feet Rd, Durgapuri Extension, Durga Puri,",,shahdara,110093,22810860,28.691698,77.292308,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4076,Kalyan Nursing Home,G-22,dilshad colony,,Dilshad Garden,110095,22351292,28.681355,77.328471,0,<100 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4077,Kamaal Nursing Home,"790, Indira Chowk","Jafrabad, Shahdara",,shahdara,110053,2219 8308,28.67967,77.271682,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4078,jeevanjyoti,"A/18, Gtb Chowk, Dilshad Garden","GTB Rd, Pocket B, Block B, Mcd Colony,",,Dilshad Garden,110092,22582719,28.681646,77.312744,0,<100 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4079,Garg Hospital,"No. 8, AGCR Enclave","Opposite Karkardooma Court, Laxmi Nagar",,karkardooma,110092,4327 4444,28.653139,77.295132,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4080,Tondan hospital,D-229,"vivek vihar, delhi",,Vivek Vihar,110095,22152947,28.634973,77.071504,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4083,Red Cross Hospital Society Mat. Welfare and Child Care Hospital,"New Seema Puri,",near metro station,,Seemapuri,110095,22118752,28.67797,77.322638,0,<100 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4084,shanti nursing home,"E-1, Panchsheel Garden",Naveen Shahdara,,shahdara,110032,22821629,28.677971,77.282614,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4085,Sharda Medical Center,"Shop No-2,Krishna Market","Jhilmil Colony Industrial Area,",Jhilmil Colony,Jhilmil colony,110095,2216 2535,28.674618,77.311055,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4087,sugandha nursing home,"East Babarpur, Shop No.: 1E/2A","Tagore Gali, New Jaffrabad,",,shahdara,110032,22820430,28.687402,77.280256,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4088,Pushpanjali Medical Centre,"A-14/15, Pushpanjali,",Vikas Marg Extn,,karkardooma,110092,223728,28.653916,77.308985,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4090,Surya hospital,"383/11-C, East Azad Nagar","Krishna Nagar,",,Vivek Vihar,110051,2200 2364,28.662973,77.28591,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4091,NGOststephen hospital,,,,,,23956123,28.693838,77.317,0,<100 Bedded Hospital,Delhi,Shahdara,\N,\N
4213,ESI Mayapuri-II,D-22,Facility centre,Near post office,Junk Market Mayapuri Phase-II,110064,011-28112417,28.61744429,77.11215002,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
